Alice,788
Hatter,110
Gryphon,91
Dormouse,40
Mouse,37
the March Hare,32
Queen,31
Dinah,28
Bill,28
the White Rabbit,20
Dodo,17
Lory,14
the King,13
William,12
Soup,11
Beau,10
Mabel,8
Mary Ann,8
Majesty,7
Said,6
Cheshire,6
ALICE,4
Lewis Carroll,4
Down,4
Latitude,4
Edwin,4
Morcar,4
Shakespeare,4
Crab,4
WILLIAM,4
Wonderland,4
Duck,3
Mercia,3
Time,3
know--,3
Geography,3
Antipathies,2
CURTSEYING,2
Curiouser,2
Ada,2
Ou est ma,2
Edgar Atheling,2
Fury,2
Mad Tea-Party,2
W.,2
Pat,2
crash)--'Now,2
Brandy,2
Jack,2
riddles.--I,2
Elsie,2
Tillie,2
Tis,2
can--,2
Dinn,2
Pinch,2
Gutenberg,2
the Mock Turtle,50
Duchess,34
Caterpillar,28
Pigeon,11
Footman,8
English,6
CHAPTER II,6
French,4
earth,3
Eaglet,3
Caucus,3
the Lobster Quadrille,3
Longitude,2
Paris,2
Rome,2
MINE,2
Northumbria--,2
the Knave of Hearts,2
Adventures,2
TOOK A WATCH ,1
New Zealand,1
Australia,1
The Pool of Tears  ',1
HEARTHRUG,1
London,1
Nile,1
Latin,1
Canterbury,1
Magpie,1
Canary,1
Next,1
THE LITTLE BUSY BEE,1
'  ,1
Lacie,1
Croquet-Ground,1
RED,1
Arithmetic,1
"Ambition, Distraction, Uglification",1
Classics,1
Laughing and Grief,1
Seals,1
England,1
indeed:--    ',1
Owl,1
Panther,1
Pennyworth,1
"'Call the first witness,'",1
Fifteenth,1
'The twinkling,1
Lizard's,1
Chapter 0
Alice,28
Dinah,5
the White Rabbit,2
Down,2
Latitude,2
ALICE,1
Lewis Carroll,1
Antipathies,1
CURTSEYING,1
Longitude,2
"'Call the first witness,'",2
TOOK A WATCH ,1
earth,1
New Zealand,1
Australia,1
Chapter 1
Alice,24
Mouse,8
Mabel,4
Curiouser,1
ALICE,1
the White Rabbit,1
Ada,1
Geography,1
William,1
Ou est ma,1
Dinah,1
Duck,1
Dodo,1
Lory,1
"'Call the first witness,'",4
English,3
Paris,2
Rome,2
French,2
CHAPTER II,1
The Pool of Tears  ',1
HEARTHRUG,1
Duchess,1
London,1
Nile,1
Latin,1
Eaglet,1
Chapter 2
Alice,14
Dodo,12
Mouse,11
Lory,4
William,3
Edwin,2
Morcar,2
Mercia,2
Duck,1
Edgar Atheling,1
Shakespeare,1
Said,1
Fury,1
Caucus,3
"'Call the first witness,'",2
English,2
Northumbria--,2
Eaglet,2
Canterbury,1
Chapter 3
Alice,9
Mouse,6
Dinah,5
Lory,2
Crab,2
Majesty,1
Magpie,2
Canary,1
Chapter 4
Alice,31
Bill,12
Mary Ann,4
Dinah,3
the White Rabbit,1
W.,1
Pat,1
crash)--'Now,1
Brandy,1
Jack,1
"'Call the first witness,'",4
Duchess,1
Panther,1
Next,1
Chapter 5
Alice,14
William,2
WILLIAM,1
Said,1
Caterpillar,17
"'Call the first witness,'",1
THE LITTLE BUSY BEE,1
Chapter 6
Alice,8
Caterpillar,9
"'Call the first witness,'",1
Chapter 7
Alice,13
Pigeon,11
"'Call the first witness,'",2
Chapter 8
Alice,43
the March Hare,6
Cheshire,4
Hatter,2
Duchess,11
Footman,8
"'Call the first witness,'",4
earth,1
Chapter 9
Alice,51
Hatter,33
Dormouse,23
the March Hare,20
Time,2
Queen,2
Mad Tea-Party,1
riddles.--I,1
know--,1
Elsie,1
Tillie,1
"'Call the first witness,'",5
MINE,1
English,1
Lacie,1
Chapter 10
Alice,39
Queen,9
Gutenberg,3
the White Rabbit,3
the King,2
Majesty,2
Cheshire,1
"'Call the first witness,'",3
RED,1
the Knave of Hearts,1
MINE,1
Panther,1
Caterpillar,1
Duchess,1
Chapter 11
Alice,52
Gryphon,19
Queen,4
Soup,2
know--,1
Tis,1
Geography,1
the Mock Turtle,24
Duchess,18
"'Call the first witness,'",2
French,2
earth,1
Arithmetic,1
"Ambition, Distraction, Uglification",1
Classics,1
Laughing and Grief,1
Chapter 12
Alice,29
Gryphon,29
Soup,6
Beau,6
can--,1
Said,1
Dinn,1
the White Rabbit,1
WILLIAM,1
the Mock Turtle,24
"'Call the first witness,'",6
the Lobster Quadrille,3
Seals,1
England,1
Caterpillar,1
indeed:--    ',1
Owl,1
Panther,1
Pennyworth,1
Chapter 13
Hatter,20
Alice,16
Dormouse,13
the King,5
the March Hare,4
the White Rabbit,3
Gryphon,2
Queen,2
Bill,1
Majesty,1
Shakespeare,1
Pinch,1
"'Call the first witness,'",4
the Knave of Hearts,1
Fifteenth,1
'The twinkling,1
Duchess,1
Chapter 14
Alice,23
the White Rabbit,7
the King,2
Gryphon,2
Wonderland,2
Bill,1
Mouse,1
the March Hare,1
Queen,1
"'Call the first witness,'",2
the Mock Turtle,2
Adventures,1
Duchess,1
Lizard's,1
